id,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
4082,15300.0,16.0,422.0,20.8,16.0
2902,15100.0,11.4,415.0,14.8,11.4
2529,14900.0,9.9,408.0,12.9,9.9
1676,13700.0,6.56,376.0,8.56,6.57
1048,12300.0,4.1,338.0,5.35,4.11
1960,14200.0,7.67,390.0,10.0,7.68
2530,14900.0,9.9,408.0,12.9,9.91
3992,15300.0,15.6,422.0,20.4,15.6
237,1560.0,0.927,43.0,1.21,0.934
3097,15200.0,12.1,418.0,15.8,12.1
3488,15300.0,13.7,421.0,17.8,13.7
1133,12400.0,4.43,340.0,5.78,4.44
1805,13900.0,7.06,383.0,9.22,7.07
4317,15300.0,16.9,420.0,22.0,16.9
163,988.0,0.637,27.1,0.831,0.644
3492,15300.0,13.7,421.0,17.8,13.7
4709,14400.0,18.4,395.0,24.0,18.4
4630,14700.0,18.1,404.0,23.6,18.1
3453,15300.0,13.5,421.0,17.6,13.5
3199,15200.0,12.5,419.0,16.3,12.5
3634,15300.0,14.2,422.0,18.6,14.2
3939,15400.0,15.4,422.0,20.1,15.4
1811,13900.0,7.09,383.0,9.25,7.09
3649,15300.0,14.3,422.0,18.6,14.3
4049,15300.0,15.8,422.0,20.7,15.9
1428,13100.0,5.59,359.0,7.29,5.6
3613,15300.0,14.1,422.0,18.4,14.1
3131,15200.0,12.3,418.0,16.0,12.3
3396,15300.0,13.3,420.0,17.3,13.3
4460,15100.0,17.5,416.0,22.8,17.5
4649,14600.0,18.2,402.0,23.7,18.2
2820,15100.0,11.0,414.0,14.4,11.0
1452,13100.0,5.68,361.0,7.41,5.69
593,6400.0,2.32,176.0,3.03,2.33
41,50.8,0.16,1.4,0.209,0.166
560,5790.0,2.19,159.0,2.86,2.2
3273,15300.0,12.8,419.0,16.7,12.8
3244,15200.0,12.7,419.0,16.6,12.7
243,1620.0,0.95,44.5,1.24,0.957
1339,12800.0,5.24,351.0,6.84,5.25
2780,15000.0,10.9,413.0,14.2,10.9
3187,15200.0,12.5,419.0,16.3,12.5
3799,15400.0,14.9,422.0,19.4,14.9
1442,13100.0,5.64,360.0,7.36,5.65
261,1780.0,1.02,48.9,1.33,1.03
2764,15000.0,10.8,413.0,14.1,10.8
1689,13700.0,6.61,376.0,8.62,6.62
1725,13800.0,6.75,379.0,8.81,6.76
4792,13800.0,18.8,380.0,24.5,18.8
834,11200.0,3.26,309.0,4.26,3.27
1866,14000.0,7.3,386.0,9.53,7.31
2496,14800.0,9.77,408.0,12.7,9.78
2010,14300.0,7.87,392.0,10.3,7.87
340,2510.0,1.33,69.0,1.73,1.34
2988,15100.0,11.7,416.0,15.3,11.7
1601,13500.0,6.27,371.0,8.17,6.27
3875,15400.0,15.2,422.0,19.8,15.2
4694,14400.0,18.4,397.0,24.0,18.4
480,4430.0,1.88,122.0,2.45,1.88
2825,15100.0,11.1,414.0,14.4,11.1
4329,15300.0,16.9,419.0,22.1,17.0
3540,15300.0,13.9,421.0,18.1,13.9
4638,14700.0,18.2,403.0,23.7,18.2
3046,15200.0,11.9,417.0,15.6,11.9
3990,15400.0,15.6,422.0,20.4,15.6
1766,13900.0,6.91,381.0,9.02,6.92
4473,15100.0,17.5,415.0,22.8,17.5
2453,14800.0,9.6,406.0,12.5,9.61
2877,15100.0,11.3,415.0,14.7,11.3
3815,15400.0,14.9,422.0,19.5,14.9
4016,15300.0,15.7,422.0,20.5,15.7
4677,14500.0,18.3,399.0,23.9,18.3
3679,15300.0,14.4,422.0,18.8,14.4
1271,12600.0,4.97,346.0,6.49,4.98
3077,15200.0,12.0,418.0,15.7,12.0
4501,15000.0,17.6,414.0,23.0,17.6
3094,15200.0,12.1,418.0,15.8,12.1
4653,14600.0,18.2,402.0,23.8,18.2
347,2580.0,1.36,70.8,1.77,1.36
3881,15400.0,15.2,422.0,19.8,15.2
4623,14700.0,18.1,405.0,23.6,18.1
2562,14900.0,10.0,409.0,13.1,10.0
4590,14800.0,18.0,408.0,23.4,18.0
1423,13000.0,5.57,358.0,7.26,5.58
656,7640.0,2.57,210.0,3.35,2.57
2102,14400.0,8.23,396.0,10.7,8.23
632,7160.0,2.47,197.0,3.23,2.48
2892,15100.0,11.3,415.0,14.8,11.3
2493,14800.0,9.76,407.0,12.7,9.76
2665,15000.0,10.4,411.0,13.6,10.4
4015,15300.0,15.7,422.0,20.5,15.7
3662,15300.0,14.3,422.0,18.7,14.3
3307,15300.0,12.9,420.0,16.9,12.9
3096,15200.0,12.1,418.0,15.8,12.1
3919,15400.0,15.3,422.0,20.0,15.3
2500,14800.0,9.79,408.0,12.8,9.79
1465,13200.0,5.73,362.0,7.48,5.74
2833,15100.0,11.1,414.0,14.5,11.1
115,632.0,0.449,17.4,0.586,0.456
1821,14000.0,7.13,384.0,9.3,7.13
1494,13200.0,5.85,364.0,7.63,5.85
2401,14700.0,9.4,405.0,12.3,9.4
1232,12500.0,4.82,344.0,6.29,4.83
2661,15000.0,10.4,411.0,13.6,10.4
4100,15300.0,16.0,422.0,20.9,16.1
4573,14900.0,17.9,409.0,23.3,17.9
1153,12400.0,4.51,341.0,5.89,4.52
3848,15400.0,15.1,422.0,19.6,15.1
57,134.0,0.222,3.69,0.29,0.229
4104,15300.0,16.1,422.0,21.0,16.1
4288,15300.0,16.8,420.0,21.9,16.8
4945,11600.0,19.4,318.0,25.2,19.4
1735,13800.0,6.79,379.0,8.86,6.8
2196,14500.0,8.6,399.0,11.2,8.6
3553,15300.0,13.9,421.0,18.1,13.9
2475,14800.0,9.69,407.0,12.6,9.69
2564,14900.0,10.0,409.0,13.1,10.0
3158,15200.0,12.4,418.0,16.1,12.4
4034,15300.0,15.8,422.0,20.6,15.8
3655,15300.0,14.3,422.0,18.7,14.3
707,8680.0,2.77,239.0,3.61,2.77
4280,15300.0,16.8,420.0,21.9,16.8
1093,12400.0,4.28,340.0,5.58,4.28
4839,13400.0,18.9,368.0,24.7,18.9
1376,12900.0,5.39,355.0,7.02,5.39
4913,12300.0,19.2,338.0,25.1,19.2
72,320.0,0.281,8.8,0.367,0.288
1922,14100.0,7.52,388.0,9.81,7.53
3173,15200.0,12.4,419.0,16.2,12.4
1764,13800.0,6.9,381.0,9.01,6.91
743,9430.0,2.91,259.0,3.79,2.91
4318,15300.0,16.9,420.0,22.0,16.9
1005,12100.0,3.93,334.0,5.13,3.94
2668,15000.0,10.4,411.0,13.6,10.4
1190,12400.0,4.66,341.0,6.07,4.66
4631,14700.0,18.1,404.0,23.6,18.1
2601,14900.0,10.2,410.0,13.3,10.2
1125,12400.0,4.4,340.0,5.74,4.41
1241,12500.0,4.86,344.0,6.34,4.86
4606,14800.0,18.0,406.0,23.5,18.0
4130,15300.0,16.2,422.0,21.1,16.2
3442,15300.0,13.5,421.0,17.6,13.5
998,12100.0,3.91,333.0,5.09,3.91
3386,15300.0,13.3,420.0,17.3,13.3
2684,15000.0,10.5,412.0,13.7,10.5
1577,13400.0,6.17,370.0,8.05,6.18
4790,13800.0,18.7,381.0,24.5,18.8
1826,14000.0,7.15,384.0,9.32,7.15
3292,15300.0,12.9,420.0,16.8,12.9
4989,9910.0,19.5,272.0,25.5,19.5
3536,15300.0,13.8,421.0,18.1,13.8
440,3850.0,1.72,106.0,2.25,1.73
4951,11400.0,19.4,313.0,25.3,19.4
1100,12400.0,4.31,340.0,5.62,4.31
4010,15300.0,15.7,422.0,20.5,15.7
3058,15200.0,12.0,417.0,15.6,12.0
649,7500.0,2.54,206.0,3.31,2.55
1546,13400.0,6.05,367.0,7.89,6.06
4756,14100.0,18.6,387.0,24.3,18.6
3560,15300.0,13.9,421.0,18.2,13.9
3886,15400.0,15.2,422.0,19.8,15.2
3741,15300.0,14.6,422.0,19.1,14.6
630,7120.0,2.47,196.0,3.22,2.47
672,7960.0,2.63,219.0,3.43,2.64
1249,12500.0,4.89,343.0,6.38,4.89
482,4460.0,1.89,123.0,2.46,1.89
1584,13500.0,6.2,370.0,8.09,6.21
3074,15200.0,12.0,417.0,15.7,12.0
4627,14700.0,18.1,405.0,23.6,18.1
3038,15200.0,11.9,417.0,15.5,11.9
1462,13100.0,5.72,361.0,7.46,5.73
3929,15400.0,15.4,422.0,20.1,15.4
3621,15300.0,14.2,422.0,18.5,14.2
2578,14900.0,10.1,409.0,13.2,10.1
3801,15400.0,14.9,422.0,19.4,14.9
49,89.2,0.191,2.45,0.249,0.198
4289,15300.0,16.8,420.0,21.9,16.8
3344,15300.0,13.1,420.0,17.1,13.1
858,11700.0,3.36,320.0,4.38,3.36
1072,12300.0,4.2,339.0,5.47,4.2
719,8930.0,2.81,245.0,3.67,2.82
3717,15300.0,14.5,422.0,19.0,14.6
2631,14900.0,10.3,410.0,13.4,10.3
4873,13000.0,19.1,356.0,24.9,19.1
1660,13600.0,6.5,375.0,8.48,6.5
1656,13600.0,6.48,374.0,8.46,6.49
